"","1","2","3","4","5"
"-1.5477",0,0,1,0,0
"-0.4869",0,0,0,0,1
"-0.4055",0,0,0,1,0
"-0.2819",0,1,0,0,2
"-0.2715",0,0,0,1,0
"-0.268",0,1,0,0,0
"-0.2084",0,0,0,1,0
"-0.1858",0,0,0,0,1
"-0.1348",0,0,0,0,1
"-0.134",0,1,0,0,0
"-0.1033",1,0,0,0,0
"-0.1009",0,0,1,0,0
"-0.0438",0,0,0,1,0
"-0.0351",0,0,0,1,0
"-0.0048",0,0,0,1,0
"-0.000799999999999999",0,0,0,0,1
"0",3,1,0,2,3
"0.004",1,0,1,1,4
"0.008",0,0,0,0,5
"0.0511",0,0,0,1,0
"0.0602",0,0,1,0,0
"0.0937",0,0,0,1,0
"0.0949",0,0,0,0,1
"0.097",0,0,0,1,0
"0.1121",1,0,0,0,0
"0.1209",0,0,0,0,2
"0.1836",0,0,0,0,1
"0.2051",0,0,0,1,0
"0.2172",0,0,0,1,0
"0.2931",0,0,0,0,1
"0.3266",0,0,0,0,1
"0.3302",0,0,0,0,1
"0.3504",0,0,0,0,1
"0.3591",0,0,0,0,1
"0.3716",0,0,1,0,4
"0.3756",0,0,0,0,3
"0.3796",0,0,0,0,2
"0.3832",0,0,0,0,1
"0.4686",0,0,0,1,0
"0.4742",0,0,0,1,0
"0.4816",0,0,0,0,1
"0.4847",0,0,0,0,1
"0.4885",0,0,0,0,1
"0.4887",0,0,0,0,1
"0.4927",0,0,0,0,3
"0.5057",0,0,0,0,1
"0.5066",0,0,0,0,1
"0.512",0,0,0,0,1
"0.5766",0,0,0,0,1
"0.5855",0,0,0,0,1
"0.5918",0,0,0,0,1
"0.6056",0,0,0,0,1
"0.6096",0,0,0,0,1
"0.6199",0,0,0,0,1
"0.6435",0,0,0,0,1
"0.7105",0,0,0,1,0
"0.7123",0,0,0,0,1
"0.7299",0,0,1,0,0
"0.7333",0,0,0,0,1
"0.7371",0,0,0,0,1
"0.7385",0,0,0,0,1
"0.7432",0,0,1,1,4
"0.751",0,0,0,0,1
"0.7512",0,0,0,0,1
"0.7552",0,0,0,0,1
"0.7716",0,0,0,0,1
"0.7856",0,0,0,0,1
"0.8071",0,0,0,0,1
"0.8153",0,0,0,0,1
"0.8283",0,0,0,0,1
"0.8369",0,0,0,0,1
"0.8563",0,0,0,1,0
"0.8603",0,0,0,1,1
"0.8611",0,0,0,0,1
"0.9297",0,0,0,0,1
"0.936",0,0,0,1,0
"0.9362",0,0,0,0,1
"0.9397",0,0,0,0,1
"0.9674",0,0,0,0,1
"0.9802",0,0,0,0,1
"0.985",0,0,0,0,1
"0.989",0,0,0,0,1
"0.9901",0,0,0,0,1
"1.0132",0,0,0,1,0
"1.0269",0,0,0,0,1
"1.0525",0,0,0,0,1
"1.0658",0,0,0,0,1
"1.0763",0,0,0,1,0
"1.0953",0,0,0,0,1
"1.0993",0,0,0,0,1
"1.1188",0,0,0,0,1
"1.1636",0,0,0,0,1
"1.1828",0,0,0,0,1
"1.2091",0,0,0,0,1
"1.2224",0,0,0,0,1
"1.2262",0,0,0,1,0
"1.2294",0,0,0,0,1
"1.2317",0,0,0,0,1
"1.2319",0,0,0,1,1
"1.2399",0,0,0,0,1
"1.2479",0,0,0,0,1
"1.2791",0,0,0,0,1
"1.3202",0,0,0,0,1
"1.3293",0,0,0,1,0
"1.3297",0,0,0,0,1
"1.3494",0,0,0,0,1
"1.3513",0,0,0,0,1
"1.3518",0,0,0,0,1
"1.353",0,0,0,0,1
"1.3652",0,0,0,0,1
"1.3989",0,0,0,0,1
"1.4731",0,0,0,0,1
"1.4878",0,0,1,0,0
"1.5545",0,0,0,0,1
"1.5585",0,0,0,0,1
"1.5665",0,0,0,0,1
"1.5908",0,0,0,0,1
"1.6035",0,0,0,0,1
"1.6156",0,0,0,1,0
"1.6294",0,0,0,1,0
"1.6914",0,0,0,1,0
"1.7471",0,0,0,0,1
"1.7823",0,0,0,0,1
"1.9412",0,0,0,0,1
"1.9658",0,0,0,0,1
"2.0985",0,0,0,0,1
"2.1194",0,0,0,0,1
"2.1603",0,0,0,1,0
"2.2001",0,0,0,0,1
"2.2016",0,0,0,1,0
"2.6427",0,0,0,0,1
