"","3","4","5"
"-0.4869",0,0,1
"-0.2819",0,0,1
"-0.1348",0,0,1
"-0.000799999999999999",0,0,1
"0",0,0,1
"0.004",1,0,3
"0.008",0,0,2
"0.0602",1,0,0
"0.097",0,1,0
"0.1209",0,0,1
"0.2051",0,1,0
"0.2172",0,1,0
"0.2931",0,0,1
"0.3266",0,0,1
"0.3716",1,0,0
"0.3832",0,0,1
"0.4686",0,1,0
"0.4927",0,0,1
"0.5918",0,0,1
"0.6056",0,0,1
"0.6096",0,0,1
"0.6435",0,0,1
"0.7123",0,0,1
"0.7385",0,0,1
"0.7432",0,0,2
"0.7512",0,0,1
"0.7552",0,0,1
"0.8071",0,0,1
"0.8283",0,0,1
"0.8603",0,0,1
"0.8611",0,0,1
"0.936",0,1,0
"0.9674",0,0,1
"0.989",0,0,1
"0.9901",0,0,1
"1.0132",0,1,0
"1.0269",0,0,1
"1.0658",0,0,1
"1.0763",0,1,0
"1.0953",0,0,1
"1.1188",0,0,1
"1.2262",0,1,0
"1.2479",0,0,1
"1.2791",0,0,1
"1.3293",0,1,0
"1.3518",0,0,1
"1.3989",0,0,1
"1.5545",0,0,1
"1.6156",0,1,0
"1.6914",0,1,0
"1.9412",0,0,1
"2.0985",0,0,1
"2.1603",0,1,0
