appendComment,displayUserNick,id,pics,stars,rateContent,rateDate,reply,serviceRateContent,userInfo
,t***3,242942653270,,5,还是有点长,2015-05-29 11:12:33,,,
,f***b,242382370863,,5,裤子不错，穿上很舒服。就是买大了，净高180买的S号，还是大了,2015-05-25 21:48:44,,,
,v***梗,242493585079,,5,很好，男朋友很喜欢,2015-05-24 18:16:19,,,
,自***售,242456012901,,5,还可以,2015-05-22 18:42:47,,,
,购***1,242293729037,,5,裤子长了差点退款了改了一下穿上还行,2015-05-22 10:28:31,,,
,小***c,241499976779,,5,还不错,2015-05-14 15:47:35,,,身高:175cm
,r***节,241373867989,,5,还没穿，看着这牌子也就那样，不好就不会买,2015-05-13 01:54:23,,,
,有***喜,241444374457,,5,东东很好，很合身，爸爸很喜欢,2015-05-10 21:35:19,,,
,c***6,241161672826,,4,是等不及换货所以重新拍的。肯定是正品，穿起也很合身。只是卖家不接受指定快递这个非常让我苦恼，本来就是急用，跟卖家商量用顺丰我自己出钱，卖家都不同意，所幸的是没耽误时间。希望卖家把合作的快递换成顺丰吧，保证好评率可以迅速提升！,2015-05-10 13:50:07,,,
,s***y,240909900496,,5,这条裤子找了三年终于找到了！,2015-05-07 23:43:05,,,身高:171cm体重:74kg
,h***8,241011367436,,5,裤子还好，物流太失望，1号买的6号才收到，上海发杭州用了两天也是第一次碰到,2015-05-06 19:44:19,,,
,t***6,240935257964,,5,服务态度不错,2015-05-04 21:23:37,,,
,2***思,240934924931,,5,第一次买大了 而且太大了 重新拍的 服务不错 裤子也很好很好,2015-05-04 16:04:23,,,
,d***8,240347980324,,5,我儿子刚穿有点大了不过行,2015-04-30 17:18:58,,,
,杰***r,240478339264,,5,不错 做工很好,2015-04-28 23:50:18,,,
,1***3,240078077570,,5,可以,2015-04-24 23:33:38,,,
,录***贱,239858757923,,5,nice,2015-04-24 17:25:26,,,
,s***g,239741627333,,5,不错,2015-04-21 23:55:24,,,
,z***g,239641595415,,5,很好,2015-04-21 09:15:45,,,
,z***9,239521852539,,5,是正品，不错。,2015-04-20 16:01:55,,,
,y***2,239368684628,,1,线头多条形码二维码扫不出来,2015-04-19 11:59:09,本店铺是adidas公司指定的淘宝官方旗舰店，所有商品都是正品，您可以放心。由于现在商品更新比较快，二维码的扫描程序大部分都是扫描不出来的，这并不是确认商品是否为正品的标准。若您收到商品不满意，可以联系我们售后客服，我店提供7天无理由退货和14天质量保障服务。线头一般修剪下即可。希望您继续关注我们店铺，期待您的下次光临！,,
,l***o,239416161854,,5,物流快，裤子赞  大爱三叶草,2015-04-18 13:05:29,,,
,h***1,239406359091,,5,东西很好，很棒。好评,2015-04-16 16:14:37,,,
,a***n,239168882524,,5,总体不错，就是号偏大,2015-04-15 16:48:12,,,
,小***蛋,238582537033,,5,满意,2015-04-09 11:36:26,,,
